id,disability_type,experience_years,education_level,accommodations,work_preference
405,mobility,9,high school,"['remote work', 'flexible schedule']",hybrid
406,mobility,2,bachelor,['remote work'],fully remote
407,mobility,5,master,['physical workspace modifications'],hybrid
408,chronic health,18,master,"['remote work', 'noise reduction']",fully remote
409,cognitive,9,high school,"['noise reduction', 'flexible schedule', 'modified training materials', 'assistive technology', 'physical workspace modifications']",fully remote
410,vision,11,associate,['flexible schedule'],hybrid
411,psychiatric,11,high school,['flexible schedule'],hybrid
412,chronic health,0,high school,['flexible schedule'],in-office
413,cognitive,1,bachelor,"['assistive technology', 'modified training materials']",hybrid
414,mobility,2,phd,['remote work'],hybrid
415,mobility,4,high school,['flexible schedule'],in-office
416,hearing,3,bachelor,"['noise reduction', 'physical workspace modifications']",fully remote
417,vision,5,high school,"['physical workspace modifications', 'remote work']",in-office
418,psychiatric,17,bachelor,['flexible schedule'],fully remote
419,chronic health,11,master,"['physical workspace modifications', 'noise reduction', 'flexible schedule']",in-office
420,hearing,11,bachelor,"['noise reduction', 'modified training materials']",hybrid
421,mobility,0,phd,['remote work'],in-office
422,cognitive,16,phd,"['assistive technology', 'modified training materials', 'noise reduction', 'flexible schedule', 'physical workspace modifications']",fully remote
423,chronic health,3,high school,['noise reduction'],hybrid
424,mobility,17,associate,['remote work'],in-office
425,vision,19,associate,"['remote work', 'physical workspace modifications']",in-office
426,mobility,12,high school,"['remote work', 'physical workspace modifications']",hybrid
427,mobility,11,high school,"['physical workspace modifications', 'flexible schedule']",in-office
428,hearing,12,phd,"['interpreter services', 'noise reduction', 'modified training materials']",hybrid
429,hearing,14,high school,"['modified training materials', 'physical workspace modifications', 'noise reduction', 'assistive technology']",in-office
430,mobility,10,phd,"['flexible schedule', 'remote work']",fully remote
431,cognitive,19,high school,"['noise reduction', 'assistive technology', 'physical workspace modifications']",fully remote
432,cognitive,7,high school,"['assistive technology', 'physical workspace modifications', 'modified training materials']",hybrid
433,chronic health,19,master,"['flexible schedule', 'physical workspace modifications', 'remote work']",in-office
434,vision,7,associate,['flexible schedule'],fully remote
435,mobility,12,phd,"['physical workspace modifications', 'flexible schedule']",in-office
436,chronic health,12,high school,"['flexible schedule', 'remote work']",in-office
437,chronic health,2,phd,"['flexible schedule', 'remote work', 'physical workspace modifications']",hybrid
438,cognitive,0,master,"['physical workspace modifications', 'noise reduction', 'assistive technology', 'flexible schedule']",fully remote
439,hearing,12,phd,"['assistive technology', 'interpreter services', 'noise reduction', 'physical workspace modifications']",hybrid
440,cognitive,6,high school,"['flexible schedule', 'physical workspace modifications', 'modified training materials', 'assistive technology']",hybrid
441,hearing,15,bachelor,['interpreter services'],fully remote
442,mobility,19,high school,['physical workspace modifications'],in-office
443,mobility,6,high school,['remote work'],fully remote
444,mobility,13,bachelor,"['flexible schedule', 'physical workspace modifications']",hybrid
445,cognitive,20,associate,"['modified training materials', 'flexible schedule', 'physical workspace modifications', 'noise reduction', 'assistive technology']",fully remote
446,psychiatric,13,master,"['flexible schedule', 'noise reduction']",hybrid
447,mobility,14,master,['remote work'],fully remote
448,cognitive,0,master,"['flexible schedule', 'modified training materials', 'noise reduction', 'assistive technology']",hybrid
449,mobility,17,master,['flexible schedule'],hybrid
450,mobility,17,high school,['flexible schedule'],hybrid
451,mobility,3,phd,['flexible schedule'],fully remote
452,mobility,9,master,"['physical workspace modifications', 'remote work']",fully remote
453,mobility,3,phd,"['flexible schedule', 'remote work']",fully remote
454,vision,10,associate,"['remote work', 'flexible schedule']",hybrid
455,psychiatric,1,high school,"['flexible schedule', 'noise reduction']",fully remote
456,mobility,19,bachelor,['physical workspace modifications'],hybrid
457,psychiatric,10,bachelor,"['noise reduction', 'physical workspace modifications']",in-office
458,mobility,14,master,"['flexible schedule', 'physical workspace modifications']",hybrid
459,mobility,6,bachelor,['remote work'],hybrid
460,chronic health,18,phd,"['noise reduction', 'flexible schedule']",fully remote
461,cognitive,7,bachelor,"['physical workspace modifications', 'assistive technology', 'noise reduction', 'flexible schedule', 'modified training materials']",fully remote
462,vision,19,master,"['remote work', 'flexible schedule']",in-office
463,mobility,5,phd,"['remote work', 'physical workspace modifications']",fully remote
464,cognitive,5,phd,"['physical workspace modifications', 'flexible schedule', 'assistive technology', 'noise reduction']",hybrid
465,hearing,17,master,"['physical workspace modifications', 'assistive technology', 'noise reduction', 'modified training materials']",in-office
466,mobility,18,bachelor,"['remote work', 'flexible schedule']",fully remote
467,chronic health,13,master,"['flexible schedule', 'physical workspace modifications', 'noise reduction']",hybrid
468,mobility,5,phd,"['flexible schedule', 'remote work']",in-office
469,cognitive,15,master,"['physical workspace modifications', 'assistive technology', 'flexible schedule', 'modified training materials', 'noise reduction']",hybrid
470,mobility,13,phd,"['flexible schedule', 'remote work']",in-office
471,cognitive,12,phd,"['flexible schedule', 'modified training materials']",in-office
472,cognitive,0,bachelor,"['modified training materials', 'noise reduction', 'physical workspace modifications', 'assistive technology']",in-office
473,cognitive,16,high school,"['noise reduction', 'flexible schedule', 'assistive technology']",fully remote
474,cognitive,1,bachelor,"['assistive technology', 'flexible schedule', 'noise reduction']",fully remote
475,chronic health,8,phd,['noise reduction'],in-office
476,mobility,9,bachelor,['flexible schedule'],in-office
477,psychiatric,11,associate,['physical workspace modifications'],in-office
478,vision,1,bachelor,['physical workspace modifications'],fully remote
479,vision,6,associate,"['flexible schedule', 'remote work']",in-office
480,mobility,20,associate,"['flexible schedule', 'physical workspace modifications']",hybrid
481,cognitive,15,bachelor,"['physical workspace modifications', 'modified training materials', 'noise reduction', 'flexible schedule', 'assistive technology']",fully remote
482,hearing,0,bachelor,"['physical workspace modifications', 'assistive technology', 'noise reduction']",fully remote
483,hearing,17,high school,"['noise reduction', 'interpreter services', 'modified training materials']",fully remote
484,cognitive,19,phd,"['modified training materials', 'noise reduction', 'assistive technology', 'physical workspace modifications', 'flexible schedule']",fully remote
485,mobility,3,high school,['flexible schedule'],in-office
486,mobility,3,phd,['flexible schedule'],hybrid
487,cognitive,6,high school,"['flexible schedule', 'assistive technology', 'physical workspace modifications', 'modified training materials', 'noise reduction']",hybrid
488,mobility,4,associate,"['remote work', 'physical workspace modifications']",hybrid
489,mobility,13,phd,"['physical workspace modifications', 'flexible schedule']",in-office
490,chronic health,13,phd,"['remote work', 'physical workspace modifications', 'noise reduction']",in-office
491,mobility,1,bachelor,"['flexible schedule', 'physical workspace modifications']",hybrid
492,cognitive,17,associate,"['flexible schedule', 'assistive technology', 'modified training materials']",hybrid
493,psychiatric,12,phd,"['flexible schedule', 'physical workspace modifications']",in-office
494,mobility,1,high school,"['physical workspace modifications', 'remote work']",hybrid
495,mobility,2,bachelor,"['flexible schedule', 'physical workspace modifications']",hybrid
496,chronic health,17,associate,"['physical workspace modifications', 'flexible schedule', 'remote work']",in-office
497,vision,14,bachelor,"['flexible schedule', 'physical workspace modifications']",hybrid
498,mobility,18,associate,['remote work'],fully remote
499,hearing,13,high school,"['interpreter services', 'modified training materials', 'noise reduction', 'physical workspace modifications']",in-office
500,hearing,3,master,['noise reduction'],hybrid
501,vision,12,associate,['flexible schedule'],hybrid
502,mobility,5,bachelor,"['physical workspace modifications', 'remote work']",fully remote
503,chronic health,13,associate,"['physical workspace modifications', 'remote work']",in-office
504,mobility,13,bachelor,"['remote work', 'physical workspace modifications']",fully remote
505,vision,11,master,"['physical workspace modifications', 'remote work']",fully remote
506,cognitive,11,phd,"['flexible schedule', 'physical workspace modifications']",fully remote
507,hearing,1,high school,['noise reduction'],in-office
508,mobility,14,phd,"['physical workspace modifications', 'remote work']",fully remote
509,mobility,20,bachelor,"['physical workspace modifications', 'remote work']",fully remote
510,cognitive,11,master,"['noise reduction', 'modified training materials', 'flexible schedule']",in-office
511,mobility,16,master,['physical workspace modifications'],hybrid
512,vision,15,high school,['remote work'],in-office
513,mobility,13,master,"['flexible schedule', 'physical workspace modifications']",in-office
514,hearing,6,master,"['interpreter services', 'noise reduction']",in-office
515,hearing,17,associate,"['noise reduction', 'assistive technology', 'physical workspace modifications', 'interpreter services']",hybrid
516,vision,19,associate,['physical workspace modifications'],in-office
517,vision,12,phd,"['remote work', 'flexible schedule']",hybrid
518,psychiatric,20,high school,"['physical workspace modifications', 'noise reduction']",hybrid
519,cognitive,13,associate,"['noise reduction', 'physical workspace modifications', 'modified training materials', 'flexible schedule', 'assistive technology']",in-office
520,mobility,17,high school,"['remote work', 'flexible schedule']",in-office
521,mobility,6,bachelor,['remote work'],fully remote
522,vision,10,bachelor,"['remote work', 'physical workspace modifications']",in-office
523,vision,11,associate,"['physical workspace modifications', 'flexible schedule']",fully remote
524,mobility,7,high school,['flexible schedule'],in-office
525,chronic health,19,high school,['flexible schedule'],hybrid
526,cognitive,4,master,"['physical workspace modifications', 'modified training materials', 'flexible schedule', 'noise reduction']",fully remote
527,cognitive,3,phd,"['physical workspace modifications', 'modified training materials']",hybrid
528,hearing,7,master,"['modified training materials', 'assistive technology', 'interpreter services']",fully remote
529,mobility,2,associate,"['flexible schedule', 'physical workspace modifications']",hybrid
530,hearing,5,high school,"['interpreter services', 'physical workspace modifications']",hybrid
531,hearing,10,phd,['modified training materials'],in-office
532,mobility,16,bachelor,['flexible schedule'],fully remote
533,mobility,20,master,"['physical workspace modifications', 'remote work']",fully remote
534,cognitive,8,associate,"['noise reduction', 'physical workspace modifications', 'assistive technology']",hybrid
535,vision,4,phd,['physical workspace modifications'],hybrid
536,chronic health,0,bachelor,"['flexible schedule', 'physical workspace modifications']",in-office
537,mobility,3,associate,['remote work'],fully remote
538,chronic health,7,bachelor,['flexible schedule'],hybrid
539,chronic health,5,associate,"['flexible schedule', 'physical workspace modifications', 'remote work']",in-office
540,vision,9,associate,"['physical workspace modifications', 'flexible schedule']",hybrid
541,mobility,5,associate,"['remote work', 'flexible schedule']",in-office
542,vision,17,phd,"['physical workspace modifications', 'flexible schedule']",fully remote
543,psychiatric,11,bachelor,"['flexible schedule', 'noise reduction']",hybrid
544,mobility,0,high school,"['flexible schedule', 'physical workspace modifications']",fully remote
545,vision,19,master,"['flexible schedule', 'remote work']",hybrid
546,mobility,16,phd,['physical workspace modifications'],in-office
547,psychiatric,4,high school,['noise reduction'],in-office
548,cognitive,19,associate,"['assistive technology', 'physical workspace modifications', 'noise reduction', 'flexible schedule']",in-office
549,chronic health,14,phd,['flexible schedule'],in-office
550,mobility,13,associate,['remote work'],hybrid
551,mobility,8,phd,['flexible schedule'],hybrid
552,chronic health,6,associate,"['physical workspace modifications', 'noise reduction']",fully remote
553,mobility,16,bachelor,"['flexible schedule', 'remote work']",hybrid
554,psychiatric,5,associate,"['flexible schedule', 'noise reduction']",hybrid
555,vision,15,bachelor,['physical workspace modifications'],fully remote
556,psychiatric,18,high school,['physical workspace modifications'],in-office
557,vision,18,bachelor,"['flexible schedule', 'physical workspace modifications']",in-office
558,chronic health,10,phd,"['physical workspace modifications', 'remote work', 'noise reduction']",in-office
559,vision,5,bachelor,"['remote work', 'flexible schedule']",fully remote
560,hearing,3,phd,"['physical workspace modifications', 'assistive technology', 'modified training materials']",hybrid
561,mobility,18,bachelor,"['remote work', 'flexible schedule']",hybrid
562,psychiatric,19,associate,['physical workspace modifications'],hybrid
563,cognitive,15,master,"['flexible schedule', 'modified training materials', 'physical workspace modifications', 'noise reduction']",fully remote
564,mobility,9,associate,"['physical workspace modifications', 'remote work']",in-office
565,mobility,19,bachelor,['flexible schedule'],in-office
566,vision,14,bachelor,['flexible schedule'],fully remote
567,mobility,6,high school,"['physical workspace modifications', 'flexible schedule']",hybrid
568,hearing,6,bachelor,"['assistive technology', 'interpreter services', 'modified training materials', 'physical workspace modifications']",in-office
569,mobility,3,phd,['remote work'],in-office
570,cognitive,1,master,"['physical workspace modifications', 'noise reduction', 'flexible schedule']",fully remote
571,hearing,10,master,"['physical workspace modifications', 'noise reduction', 'interpreter services', 'modified training materials']",in-office
572,cognitive,13,master,"['physical workspace modifications', 'modified training materials', 'assistive technology', 'noise reduction']",hybrid
573,cognitive,15,phd,"['modified training materials', 'noise reduction', 'assistive technology']",in-office
574,cognitive,6,associate,"['noise reduction', 'physical workspace modifications', 'modified training materials', 'flexible schedule']",fully remote
575,mobility,10,high school,['flexible schedule'],hybrid
576,hearing,8,associate,"['assistive technology', 'physical workspace modifications', 'interpreter services']",hybrid
577,psychiatric,5,master,"['noise reduction', 'physical workspace modifications']",hybrid
578,mobility,19,phd,['remote work'],fully remote
579,psychiatric,12,phd,"['flexible schedule', 'noise reduction']",fully remote
580,chronic health,3,associate,"['physical workspace modifications', 'remote work', 'noise reduction']",hybrid
581,mobility,9,high school,['remote work'],hybrid
582,cognitive,1,phd,"['assistive technology', 'flexible schedule']",in-office
583,cognitive,4,associate,"['flexible schedule', 'modified training materials', 'noise reduction']",hybrid
584,hearing,11,associate,"['interpreter services', 'modified training materials', 'assistive technology']",fully remote
585,psychiatric,12,phd,['flexible schedule'],hybrid
586,mobility,20,bachelor,"['physical workspace modifications', 'remote work']",in-office
587,hearing,5,master,['noise reduction'],hybrid
588,chronic health,11,high school,"['noise reduction', 'flexible schedule']",hybrid
589,mobility,2,phd,['physical workspace modifications'],hybrid
590,psychiatric,1,bachelor,['physical workspace modifications'],in-office
591,hearing,10,phd,"['assistive technology', 'physical workspace modifications', 'modified training materials', 'noise reduction']",hybrid
592,psychiatric,3,associate,['flexible schedule'],hybrid
593,vision,19,associate,"['remote work', 'flexible schedule']",in-office
594,hearing,20,phd,"['modified training materials', 'interpreter services']",hybrid
595,chronic health,12,bachelor,['noise reduction'],fully remote
596,mobility,13,bachelor,"['remote work', 'flexible schedule']",hybrid
597,cognitive,0,associate,"['flexible schedule', 'noise reduction', 'assistive technology', 'physical workspace modifications', 'modified training materials']",in-office
598,psychiatric,14,master,['physical workspace modifications'],in-office
599,mobility,18,high school,['remote work'],in-office
600,hearing,20,phd,"['noise reduction', 'modified training materials', 'interpreter services', 'physical workspace modifications']",in-office
601,mobility,17,high school,['flexible schedule'],fully remote
602,chronic health,10,bachelor,"['noise reduction', 'flexible schedule', 'physical workspace modifications']",hybrid
603,vision,16,master,"['physical workspace modifications', 'flexible schedule']",fully remote
604,vision,15,bachelor,"['flexible schedule', 'remote work']",fully remote
605,hearing,10,bachelor,"['noise reduction', 'modified training materials', 'physical workspace modifications', 'interpreter services']",in-office
606,vision,0,master,['physical workspace modifications'],in-office
607,chronic health,7,bachelor,"['flexible schedule', 'noise reduction']",fully remote
608,mobility,20,high school,"['physical workspace modifications', 'flexible schedule']",hybrid
609,mobility,19,bachelor,"['remote work', 'physical workspace modifications']",hybrid
610,mobility,17,bachelor,"['physical workspace modifications', 'flexible schedule']",fully remote
611,psychiatric,5,associate,"['flexible schedule', 'noise reduction']",fully remote
612,vision,18,bachelor,['flexible schedule'],hybrid
613,mobility,4,high school,"['physical workspace modifications', 'flexible schedule']",fully remote
614,vision,14,phd,"['remote work', 'flexible schedule']",in-office
615,psychiatric,17,high school,['flexible schedule'],fully remote
616,vision,5,associate,['remote work'],hybrid
617,psychiatric,11,high school,"['flexible schedule', 'noise reduction']",hybrid
618,cognitive,20,master,"['flexible schedule', 'modified training materials', 'physical workspace modifications']",in-office
619,vision,17,bachelor,"['physical workspace modifications', 'flexible schedule']",hybrid
620,psychiatric,5,associate,"['physical workspace modifications', 'noise reduction']",fully remote
621,mobility,7,phd,"['remote work', 'physical workspace modifications']",fully remote
622,chronic health,13,associate,['remote work'],hybrid
623,hearing,17,bachelor,"['physical workspace modifications', 'noise reduction', 'interpreter services', 'assistive technology']",in-office
624,psychiatric,2,high school,['physical workspace modifications'],fully remote
625,mobility,3,associate,['flexible schedule'],fully remote
626,mobility,2,high school,"['remote work', 'physical workspace modifications']",hybrid
627,cognitive,2,master,"['noise reduction', 'flexible schedule']",fully remote
628,mobility,6,associate,['remote work'],fully remote
629,mobility,10,associate,"['physical workspace modifications', 'remote work']",hybrid
630,hearing,14,phd,"['interpreter services', 'noise reduction', 'assistive technology']",hybrid
631,chronic health,18,bachelor,['physical workspace modifications'],hybrid
632,chronic health,20,high school,"['noise reduction', 'remote work']",in-office
633,vision,8,associate,['flexible schedule'],fully remote
634,mobility,16,bachelor,"['remote work', 'flexible schedule']",in-office
635,chronic health,0,high school,"['noise reduction', 'remote work']",hybrid
636,cognitive,7,phd,"['flexible schedule', 'physical workspace modifications', 'noise reduction', 'assistive technology']",hybrid
637,hearing,14,phd,['interpreter services'],in-office
638,psychiatric,11,phd,['noise reduction'],hybrid
639,mobility,7,associate,"['remote work', 'physical workspace modifications']",fully remote
640,cognitive,10,phd,"['flexible schedule', 'modified training materials', 'assistive technology']",in-office
641,chronic health,10,master,"['remote work', 'physical workspace modifications', 'flexible schedule']",fully remote
642,psychiatric,6,phd,['physical workspace modifications'],hybrid
643,mobility,20,associate,['flexible schedule'],in-office
644,mobility,16,high school,['physical workspace modifications'],hybrid
645,hearing,20,master,['interpreter services'],in-office
646,cognitive,18,high school,"['physical workspace modifications', 'modified training materials', 'flexible schedule', 'noise reduction']",in-office
647,vision,16,associate,['flexible schedule'],hybrid
648,psychiatric,14,high school,"['physical workspace modifications', 'flexible schedule']",fully remote
649,mobility,9,phd,"['flexible schedule', 'physical workspace modifications']",hybrid
650,chronic health,11,master,"['physical workspace modifications', 'noise reduction']",hybrid
651,chronic health,6,phd,['noise reduction'],in-office
652,vision,6,high school,"['flexible schedule', 'physical workspace modifications']",fully remote
653,psychiatric,8,bachelor,['noise reduction'],in-office
654,cognitive,3,high school,"['noise reduction', 'assistive technology']",hybrid
655,chronic health,2,bachelor,['physical workspace modifications'],hybrid
656,vision,12,master,['physical workspace modifications'],fully remote
657,vision,4,associate,['flexible schedule'],hybrid
658,cognitive,1,phd,"['assistive technology', 'flexible schedule', 'modified training materials', 'noise reduction']",fully remote
659,mobility,10,associate,['physical workspace modifications'],in-office
660,hearing,3,associate,"['interpreter services', 'noise reduction']",in-office
661,vision,13,high school,"['remote work', 'flexible schedule']",in-office
662,mobility,14,high school,"['remote work', 'flexible schedule']",in-office
663,hearing,10,high school,"['modified training materials', 'assistive technology', 'interpreter services']",hybrid
664,psychiatric,16,master,['physical workspace modifications'],hybrid
665,hearing,11,associate,['interpreter services'],in-office
666,chronic health,3,bachelor,"['physical workspace modifications', 'noise reduction']",in-office
667,hearing,17,associate,['physical workspace modifications'],hybrid
668,mobility,13,associate,"['physical workspace modifications', 'remote work']",in-office
669,mobility,1,master,"['physical workspace modifications', 'remote work']",fully remote
670,chronic health,7,master,['noise reduction'],hybrid
671,mobility,15,bachelor,"['remote work', 'flexible schedule']",hybrid
672,cognitive,4,high school,"['physical workspace modifications', 'noise reduction']",hybrid
673,cognitive,6,bachelor,"['flexible schedule', 'physical workspace modifications', 'modified training materials', 'noise reduction', 'assistive technology']",fully remote
674,mobility,18,master,['physical workspace modifications'],hybrid
675,vision,7,bachelor,"['remote work', 'physical workspace modifications']",in-office
676,cognitive,1,associate,"['flexible schedule', 'assistive technology', 'modified training materials', 'physical workspace modifications', 'noise reduction']",fully remote
677,hearing,14,associate,"['modified training materials', 'assistive technology', 'interpreter services']",in-office
678,vision,7,phd,['remote work'],fully remote
679,mobility,17,phd,"['flexible schedule', 'remote work']",in-office
680,mobility,18,high school,['physical workspace modifications'],fully remote
681,mobility,20,phd,['physical workspace modifications'],hybrid
682,mobility,13,associate,"['remote work', 'flexible schedule']",fully remote
683,chronic health,7,associate,"['flexible schedule', 'remote work', 'physical workspace modifications']",fully remote
684,psychiatric,18,phd,['flexible schedule'],hybrid
685,psychiatric,13,associate,"['physical workspace modifications', 'flexible schedule']",hybrid
686,chronic health,3,phd,['physical workspace modifications'],hybrid
687,mobility,9,phd,"['remote work', 'physical workspace modifications']",in-office
688,vision,5,bachelor,['flexible schedule'],fully remote
689,psychiatric,1,associate,"['physical workspace modifications', 'noise reduction']",in-office
690,psychiatric,5,associate,"['physical workspace modifications', 'flexible schedule']",fully remote
691,cognitive,3,master,"['noise reduction', 'physical workspace modifications', 'flexible schedule', 'assistive technology', 'modified training materials']",hybrid
692,mobility,4,bachelor,"['remote work', 'flexible schedule']",in-office
693,psychiatric,10,master,['flexible schedule'],fully remote
694,cognitive,16,associate,"['noise reduction', 'flexible schedule', 'modified training materials', 'assistive technology']",in-office
695,vision,13,master,"['remote work', 'physical workspace modifications']",hybrid
696,vision,14,high school,"['physical workspace modifications', 'flexible schedule']",hybrid
697,vision,5,associate,['remote work'],fully remote
698,cognitive,17,bachelor,"['modified training materials', 'physical workspace modifications', 'noise reduction', 'flexible schedule']",in-office
699,mobility,18,bachelor,['flexible schedule'],in-office
700,mobility,8,phd,['physical workspace modifications'],fully remote
701,vision,19,bachelor,"['physical workspace modifications', 'flexible schedule']",in-office
702,cognitive,17,master,"['flexible schedule', 'assistive technology', 'modified training materials']",fully remote
703,psychiatric,19,high school,['noise reduction'],in-office
704,mobility,13,phd,"['remote work', 'physical workspace modifications']",fully remote
705,hearing,20,high school,"['physical workspace modifications', 'modified training materials']",hybrid
706,chronic health,9,bachelor,['physical workspace modifications'],fully remote
707,vision,16,bachelor,"['physical workspace modifications', 'remote work']",in-office
708,mobility,11,high school,['physical workspace modifications'],fully remote
709,cognitive,3,high school,"['noise reduction', 'physical workspace modifications', 'modified training materials', 'assistive technology', 'flexible schedule']",in-office
710,cognitive,9,high school,"['assistive technology', 'flexible schedule', 'modified training materials', 'physical workspace modifications', 'noise reduction']",in-office
711,mobility,16,associate,"['flexible schedule', 'physical workspace modifications']",fully remote
712,cognitive,7,associate,"['physical workspace modifications', 'assistive technology', 'noise reduction', 'modified training materials']",in-office
713,mobility,15,master,"['physical workspace modifications', 'flexible schedule']",in-office
714,hearing,18,associate,"['noise reduction', 'assistive technology']",fully remote
715,mobility,11,high school,"['physical workspace modifications', 'flexible schedule']",in-office
716,mobility,17,high school,"['flexible schedule', 'remote work']",fully remote
717,cognitive,12,phd,"['assistive technology', 'modified training materials', 'noise reduction', 'physical workspace modifications']",hybrid
718,mobility,4,bachelor,['physical workspace modifications'],hybrid
719,mobility,12,master,['flexible schedule'],fully remote
720,psychiatric,19,phd,['physical workspace modifications'],hybrid
721,hearing,10,master,"['interpreter services', 'physical workspace modifications', 'modified training materials']",hybrid
722,hearing,1,associate,"['noise reduction', 'interpreter services']",hybrid
723,hearing,12,bachelor,"['interpreter services', 'physical workspace modifications']",in-office
724,mobility,12,phd,['flexible schedule'],hybrid
725,hearing,1,bachelor,"['interpreter services', 'noise reduction', 'modified training materials']",hybrid
726,mobility,0,bachelor,"['remote work', 'physical workspace modifications']",hybrid
727,mobility,17,associate,"['physical workspace modifications', 'remote work']",in-office
728,vision,5,high school,"['remote work', 'flexible schedule']",hybrid
729,hearing,12,associate,['noise reduction'],hybrid
730,chronic health,5,master,"['flexible schedule', 'remote work', 'noise reduction']",in-office
731,mobility,10,bachelor,"['physical workspace modifications', 'remote work']",hybrid
732,mobility,8,bachelor,['flexible schedule'],hybrid
733,mobility,7,phd,"['flexible schedule', 'physical workspace modifications']",in-office
734,cognitive,11,phd,"['physical workspace modifications', 'noise reduction', 'assistive technology', 'flexible schedule']",fully remote
735,hearing,14,bachelor,['modified training materials'],hybrid
736,cognitive,2,high school,"['modified training materials', 'noise reduction', 'physical workspace modifications']",in-office
737,mobility,5,associate,['remote work'],in-office
738,mobility,18,high school,['physical workspace modifications'],hybrid
739,vision,19,high school,"['physical workspace modifications', 'remote work']",in-office
740,mobility,10,high school,"['remote work', 'flexible schedule']",hybrid
741,chronic health,2,high school,['noise reduction'],hybrid
742,cognitive,19,associate,"['modified training materials', 'flexible schedule', 'noise reduction', 'physical workspace modifications']",in-office
743,mobility,16,high school,"['remote work', 'flexible schedule']",fully remote
744,cognitive,8,bachelor,"['assistive technology', 'flexible schedule', 'modified training materials', 'noise reduction']",hybrid
745,vision,11,master,"['remote work', 'flexible schedule']",hybrid
746,mobility,9,bachelor,['flexible schedule'],fully remote
747,hearing,15,phd,"['noise reduction', 'physical workspace modifications']",fully remote
748,hearing,18,master,"['assistive technology', 'physical workspace modifications', 'noise reduction']",hybrid
749,chronic health,13,high school,"['flexible schedule', 'noise reduction']",fully remote
750,chronic health,14,associate,['physical workspace modifications'],hybrid
751,cognitive,16,master,"['assistive technology', 'flexible schedule', 'noise reduction']",hybrid
752,mobility,13,phd,['flexible schedule'],fully remote
753,cognitive,1,master,"['flexible schedule', 'noise reduction']",in-office
754,psychiatric,12,associate,"['noise reduction', 'physical workspace modifications']",hybrid
755,chronic health,10,associate,"['noise reduction', 'physical workspace modifications']",fully remote
756,chronic health,12,phd,['remote work'],fully remote
757,mobility,3,bachelor,['remote work'],hybrid
758,hearing,5,associate,['interpreter services'],hybrid
759,mobility,4,phd,"['remote work', 'flexible schedule']",hybrid
760,vision,12,master,"['flexible schedule', 'remote work']",hybrid
761,chronic health,10,high school,"['flexible schedule', 'physical workspace modifications']",hybrid
762,hearing,0,bachelor,['assistive technology'],fully remote
763,cognitive,20,phd,"['flexible schedule', 'physical workspace modifications', 'assistive technology', 'modified training materials']",fully remote
764,hearing,18,associate,"['modified training materials', 'assistive technology']",fully remote
765,vision,15,master,"['flexible schedule', 'remote work']",in-office
766,cognitive,9,phd,"['modified training materials', 'assistive technology', 'flexible schedule', 'noise reduction', 'physical workspace modifications']",in-office
767,cognitive,20,bachelor,"['modified training materials', 'physical workspace modifications', 'assistive technology', 'noise reduction']",hybrid
768,vision,0,master,"['remote work', 'flexible schedule']",fully remote
769,cognitive,20,bachelor,"['noise reduction', 'physical workspace modifications']",in-office
770,vision,12,associate,"['physical workspace modifications', 'flexible schedule']",fully remote
771,cognitive,16,phd,"['assistive technology', 'modified training materials', 'flexible schedule', 'physical workspace modifications', 'noise reduction']",in-office
772,mobility,4,master,"['remote work', 'flexible schedule']",fully remote
773,psychiatric,5,high school,['noise reduction'],in-office
774,psychiatric,10,master,['noise reduction'],hybrid
775,hearing,11,high school,"['interpreter services', 'physical workspace modifications', 'modified training materials']",hybrid
776,cognitive,3,phd,"['noise reduction', 'physical workspace modifications', 'modified training materials']",fully remote
777,chronic health,13,phd,['physical workspace modifications'],in-office
778,mobility,4,high school,"['flexible schedule', 'remote work']",fully remote
779,cognitive,6,phd,"['noise reduction', 'modified training materials', 'assistive technology']",in-office
780,mobility,14,bachelor,['remote work'],fully remote
781,mobility,0,associate,['flexible schedule'],hybrid
782,cognitive,6,master,"['flexible schedule', 'assistive technology', 'modified training materials', 'physical workspace modifications', 'noise reduction']",fully remote
783,mobility,6,high school,['physical workspace modifications'],hybrid
784,mobility,2,phd,['physical workspace modifications'],fully remote
785,mobility,17,master,"['physical workspace modifications', 'flexible schedule']",in-office
786,hearing,19,master,"['physical workspace modifications', 'noise reduction', 'assistive technology', 'modified training materials']",hybrid
787,mobility,9,phd,"['flexible schedule', 'physical workspace modifications']",in-office
788,vision,14,associate,['physical workspace modifications'],in-office
789,cognitive,15,high school,"['assistive technology', 'flexible schedule']",fully remote
790,mobility,18,high school,"['physical workspace modifications', 'flexible schedule']",in-office
791,mobility,2,high school,"['remote work', 'flexible schedule']",fully remote
792,cognitive,11,high school,"['assistive technology', 'physical workspace modifications', 'noise reduction', 'flexible schedule', 'modified training materials']",hybrid
793,psychiatric,16,associate,"['flexible schedule', 'physical workspace modifications']",hybrid
794,mobility,10,master,"['remote work', 'flexible schedule']",hybrid
795,hearing,11,high school,"['interpreter services', 'assistive technology']",in-office
796,mobility,15,bachelor,['remote work'],hybrid
797,mobility,6,high school,"['flexible schedule', 'remote work']",hybrid
798,vision,2,phd,"['remote work', 'flexible schedule']",hybrid
799,cognitive,11,phd,"['flexible schedule', 'modified training materials', 'assistive technology', 'noise reduction', 'physical workspace modifications']",hybrid
800,chronic health,20,high school,"['remote work', 'physical workspace modifications', 'noise reduction']",hybrid
